Question,Answer,Score
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ??????? ?????? ???? ????? ????? ?? ????? ?????? ?????,0.919055462
??????? ?? ??????? ??? ???? ???? ????,??????? ?????? ???? ?? ????? ?????? ?? ???? ??????? ?????? ????? ???? ????? ??????,0.916416764
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ????????? ????? ??? ??????? ????? ?????? ?????? ???? ???? ?? ????? ??????,0.911498725
??????? ?? ??????? ??? ???? ???? ????,??????? ??????? ?????? ????? ???????? ?????? ????? ??????,0.891279876
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ?????? ????? ?????? ???? ???,0.89032495
??????? ?? ??????? ??? ???? ???? ????,???? ??????? ?????? ???? ????? ??? ?????? ?????????? ??????,0.888904989
??????? ?? ??????? ??? ???? ???? ????,???? ?? ????? ?????? ?? ?????,0.887426972
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ???? ????? ????? ?? ??????? ?????? ???????,0.883576751
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ????? ???????,0.883058786
??????? ?? ??????? ??? ???? ???? ????,????? ??? ??? ????? ????????,0.878460526
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ????? ???????,0.869725347
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ???????? ??????? ??????? ??? ?????,0.869426012
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??????? ????? ????? ?? ???????,0.868344665
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ???? ????? ????? ?? ??????? ?????? ???????,0.866592169
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??????? ????? ?? ??????,0.866512895
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??????? ????? ?? ??????,0.858445823
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?? ??? ??????? ?????? ????? ?????? ????? ???? ?? ?????,0.858024955
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ??????? ??????? ?????????,0.853480399
??????? ?? ??????? ??? ???? ???? ????,??? ??? ?????? ????????? ?? ????????? ??????? ?????????,0.853128552
??????? ?? ??????? ??? ???? ???? ????,??? ?? ?????? ????? ????? ?? ????? ????? ???? ???? ?? ??????? ??????,0.850207686
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ??????? ??????? ?????????,0.849899292
??????? ?? ??????? ??? ???? ???? ????,????? ??? ?? ????? ??????,0.848610222
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ????? ???????,0.848121941
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ????? ?????? ????? ?????? ???????,0.84391439
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ????? ?????????? ???? ????? ?????,0.843562722
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ??????? ??????? ?????????,0.840757966
??????? ?? ??????? ??? ???? ???? ????,????? ??????? ??????? ??????????? ?? ??????? ?????????? ???? ???? ?? ??????? ?????,0.840016663
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?????? ?? ????? ??????? ???????? ????????,0.838938177
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ????? ???????? ?????? ??????,0.838476777
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ????? ?????? ????? ?????? ???????,0.837759137
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ??????? ??????? ?????????,0.836948097
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ????? ???????,0.833414078
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ????? ???????,0.83330828
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?? ??? ??????? ?????? ????? ?????? ????? ???? ?? ?????,0.832497358
??????? ?? ??????? ??? ???? ???? ????,?????? ????? ?? ?? ??????,0.832339168
??????? ?? ??????? ??? ???? ???? ????,????? ???????? ??? ????? ?????? ?????? ????,0.831907094
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ????? ?????? ????? ?????? ???????,0.831559539
??????? ?? ??????? ??? ???? ???? ????,????? ?? ??????? ???????? ?? ?????? ???????,0.831141829
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??????? ????? ?? ??????,0.831133246
??????? ?? ??????? ??? ???? ???? ????,??? ??? ?????? ????????? ?? ????????? ??????? ?????????,0.827793956
??????? ?? ??????? ??? ???? ???? ????,??????? ?????? ???? ?? ????? ?????? ?? ???? ??????? ?????? ????? ???? ????? ??????,0.826622248
??????? ?? ??????? ??? ???? ???? ????,??? ?? ?????? ????? ????? ?? ????? ????? ???? ???? ?? ??????? ??????,0.825538754
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ????? ?????? ????? ?????? ???????,0.823701382
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ????????? ??????,0.822999716
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ????? ?????? ????? ?????? ???????,0.821715593
??????? ?? ??????? ??? ???? ???? ????,????? ?? ??????? ???????? ?? ?????? ???????,0.820559204
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ????? ???????,0.819205701
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?????? ?? ????? ??????? ???????? ????????,0.81899035
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ????? ???????,0.818244815
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ????? ???????,0.817970335
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??????? ????? ?? ??????,0.816894233
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ????????? ??????,0.814045608
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ????? ???? ??????? ?? ????? ???????,0.813718557
??????? ?? ??????? ??? ???? ???? ????,????? ?? ??????? ???????? ?? ?????? ???????,0.813089907
??????? ?? ??????? ??? ???? ???? ????,??? ???? ?????? ???? ????? ??????,0.812774718
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ?????? ???? ?? ??????? ????????? ?????,0.811184287
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???? ??????? ??????? ?????????,0.808496475
??????? ?? ??????? ??? ???? ???? ????,?? ???? ????????,0.807857335
??????? ?? ??????? ??? ???? ???? ????,?????? ???? ????????? ????? ?? ??????? ?????? ??????? ????????,0.805589914
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?? ??? ??????? ?????? ????? ?????? ????? ???? ?? ?????,0.805107117
??????? ?? ??????? ??? ???? ???? ????,??????? ?????? ???? ?? ????? ?????? ?? ???? ??????? ?????? ????? ???? ????? ??????,0.805019021
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ????? ?????????? ???? ????? ?????,0.802815676
??????? ?? ??????? ??? ???? ???? ????,?? ???? ????????,0.80213517
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ????? ???????,0.801034391
??????? ?? ??????? ??? ???? ???? ????,???? ??????? ?????? ???? ????? ??? ?????? ?????????? ??????,0.800905704
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ?????? ????? ?????? ???? ???,0.800615013
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ???????? ??????? ??????? ??? ?????,0.799054742
??????? ?? ??????? ??? ???? ???? ????,??? ??? ?????? ????????? ?? ????????? ??????? ?????????,0.798198998
??????? ?? ??????? ??? ???? ???? ????,??????? ??????? ?????? ????? ???????? ?????? ????? ??????,0.795597076
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ????? ???? ??????? ?? ????? ???????,0.795505166
??????? ?? ??????? ??? ???? ???? ????,??? ???? ?????? ???? ????? ??????,0.795183837
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ????? ??? ???? ?? ??????? ?????,0.794612527
??????? ?? ??????? ??? ???? ???? ????,??????? ?????? ???? ?? ????? ?????? ?? ???? ??????? ?????? ????? ???? ????? ??????,0.794494867
??????? ?? ??????? ??? ???? ???? ????,???? ????? ????? ????????,0.793771148
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ????? ??? ???? ?? ??????? ?????,0.793644249
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??? ??? ??? ?? ?????? ?????,0.793532789
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??? ??? ??? ?? ?????? ?????,0.79146266
??????? ?? ??????? ??? ???? ???? ????,???? ?? ????? ?????? ?? ?????,0.79117775
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ?????? ????? ????? ?????,0.791041613
??????? ?? ??????? ??? ???? ???? ????,??? ??? ?????? ????????? ?? ????????? ??????? ?????????,0.79074055
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ?????? ????? ?????? ???? ???,0.790487945
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?? ????? ?????? ?????,0.789793491
??????? ?? ??????? ??? ???? ???? ????,????? ??? ?? ????? ??????,0.789375961
??????? ?? ??????? ??? ???? ???? ????,??????? ??????? ?????? ????? ???????? ?????? ????? ??????,0.78774029
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ????? ???????? ?????? ??????,0.787333369
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ?????? ????? ????? ?????,0.7871297
??????? ?? ??????? ??? ???? ???? ????,??? ??? ?????? ????????? ?? ????????? ??????? ?????????,0.786806047
??????? ?? ??????? ??? ???? ???? ????,????? ???????? ??? ????? ?????? ?????? ????,0.785598576
??????? ?? ??????? ??? ???? ???? ????,????? ??? ??? ????? ????????,0.785399497
??????? ?? ??????? ??? ???? ???? ????,??? ?? ?????? ????? ????? ?? ????? ????? ???? ???? ?? ??????? ??????,0.784592152
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ????? ???????? ?????? ??????,0.784524679
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ???????? ??????? ??????? ??? ?????,0.78163588
??????? ?? ??????? ??? ???? ???? ????,????? ??? ??? ????? ????????,0.780870497
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.780627608
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ????? ?????????? ???? ????? ?????,0.780454278
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?? ????? ?????? ?????,0.779355645
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?????? ?? ????? ??????? ???????? ????????,0.778645754
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ???????? ?? ??????? ???????? ?????? ?? ???????????,0.778455198
??????? ?? ??????? ??? ???? ???? ????,??????? ??????? ?????? ????? ???????? ?????? ????? ??????,0.778444648
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ???????? ?? ??????? ???????? ?????? ?? ???????????,0.778363228
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ?? ?????? ????? ???????????,0.777572513
??????? ?? ??????? ??? ???? ???? ????,???? ?? ????? ?????? ?? ?????,0.777543545
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ??????? ????? ????????,0.77615726
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ????? ???????? ?????? ??????,0.776057184
??????? ?? ??????? ??? ???? ???? ????,???? ?? ????? ?????? ?? ?????,0.775884032
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.775621653
??????? ?? ??????? ??? ???? ???? ????,????? ???????? ??? ????? ?????? ?????? ????,0.775313973
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ??????? ????? ????????,0.774759173
??????? ?? ??????? ??? ???? ???? ????,???? ????? ????? ????????,0.774683475
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ????????? ????? ??? ??????? ????? ?????? ?????? ???? ???? ?? ????? ??????,0.774606049
??????? ?? ??????? ??? ???? ???? ????,???? ??????? ?????? ???? ????? ??? ?????? ?????????? ??????,0.774566829
??????? ?? ??????? ??? ???? ???? ????,????? ????? ???? ????? ???????,0.77304709
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ??????? ????? ????????,0.772879958
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ????? ???????? ?????? ??????,0.772579312
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ?????,0.772455752
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?? ??? ??????? ?????? ????? ?????? ????? ???? ?? ?????,0.772396564
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.771115303
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ????????? ????? ??? ??????? ????? ?????? ?????? ???? ???? ?? ????? ??????,0.770881832
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???????,0.770705819
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ??????? ?????? ???? ????? ????? ?? ????? ?????? ?????,0.769904852
??????? ?? ??????? ??? ???? ???? ????,????? ?? ??????? ???????? ?? ?????? ???????,0.768671393
??????? ?? ??????? ??? ???? ???? ????,??????? ?????? ???? ?? ????? ?????? ?? ???? ??????? ?????? ????? ???? ????? ??????,0.767022729
??????? ?? ??????? ??? ???? ???? ????,??? ???? ?????? ???? ????? ??????,0.766878009
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ???????? ?? ??????? ???????? ?????? ?? ???????????,0.766637146
??????? ?? ??????? ??? ???? ???? ????,?????? ???? ????????? ????? ?? ??????? ?????? ??????? ????????,0.765957832
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ??????? ????? ????,0.764371336
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??????? ????? ?? ??????,0.764006913
??????? ?? ??????? ??? ???? ???? ????,?????? ????? ?? ?? ??????,0.763151288
??????? ?? ??????? ??? ???? ???? ????,?????? ?? ??? ?????? ???? ??? ??????? ??????,0.762679398
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ????????? ????? ??? ??????? ????? ?????? ?????? ???? ???? ?? ????? ??????,0.762091517
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?????? ?? ????? ??????? ???????? ????????,0.7603091
??????? ?? ??????? ??? ???? ???? ????,?????? ?? ???????? ??????? ??? ??????,0.759325385
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ????? ??? ???? ?? ??????? ?????,0.758442342
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ??????? ?????? ???? ????? ????? ?? ????? ?????? ?????,0.758114219
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ???? ????? ????? ?? ??????? ?????? ???????,0.757462382
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ???? ????? ????? ?? ??????? ?????? ???????,0.757337034
??????? ?? ??????? ??? ???? ???? ????,????? ??? ??? ????? ????????,0.757205367
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ?????? ????? ?????? ???? ???,0.755929947
??????? ?? ??????? ??? ???? ???? ????,???? ??????? ?????? ???? ????? ??? ?????? ?????????? ??????,0.755328834
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ?????? ??? ??????,0.753868341
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???????,0.752121329
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ????,0.751314759
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??????? ????? ????? ?? ???????,0.749877453
??????? ?? ??????? ??? ???? ???? ????,???? ?? ????? ?????? ?? ?????,0.74965775
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ?? ?????? ????? ???????????,0.749029934
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ????? ???? ??????? ?? ????? ???????,0.748949528
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ????? ??? ????? ????????,0.748395383
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ????? ???? ??????? ?? ????? ???????,0.747954369
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ???????? ??????? ??????? ??? ?????,0.747576892
??????? ?? ??????? ??? ???? ???? ????,??????? ??????? ?????? ????? ???????? ?????? ????? ??????,0.747179449
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ????????? ??????,0.746042192
??????? ?? ??????? ??? ???? ???? ????,????? ????? ???? ????? ???????,0.743838906
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??? ??? ??? ?? ?????? ?????,0.742830992
??????? ?? ??????? ??? ???? ???? ????,????? ?? ??????? ???????? ?? ?????? ???????,0.742745638
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ????? ???????,0.742317855
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ??????? ????? ????????,0.741365075
??????? ?? ??????? ??? ???? ???? ????,?????? ???? ????????? ????? ?? ??????? ?????? ??????? ????????,0.741302133
??????? ?? ??????? ??? ???? ???? ????,????? ??????? ??????? ??????????? ?? ??????? ?????????? ???? ???? ?? ??????? ?????,0.741301894
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ?? ?????? ????? ???????????,0.741107941
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ????????? ????? ??? ??????? ????? ?????? ?????? ???? ???? ?? ????? ??????,0.740815997
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ?????? ??? ??????,0.740631461
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ?????,0.739519536
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ????? ??? ???? ?? ??????? ?????,0.738912106
